aX,aY,aZ
0.872,0.427,1.275
0.771,0.309,1.247
0.714,0.252,1.187
0.604,0.157,1.158
0.552,0.118,1.101
0.455,0.071,1.073
0.415,0.052,1.025
0.361,0.038,1.003
0.336,0.043,0.956
0.303,0.069,0.935
0.293,0.097,0.898
0.289,0.156,0.877
0.291,0.188,0.828
0.303,0.225,0.804
0.31,0.238,0.769
0.325,0.251,0.754
0.334,0.258,0.737
0.346,0.261,0.733
0.348,0.258,0.741
0.358,0.255,0.747
0.361,0.248,0.759
0.368,0.222,0.765
0.37,0.204,0.774
0.385,0.165,0.782
0.391,0.152,0.79
0.407,0.143,0.793
0.418,0.14,0.809
0.429,0.145,0.817
0.431,0.153,0.839
0.432,0.154,0.85
0.437,0.149,0.872
0.441,0.126,0.879
0.45,0.12,0.895
0.456,0.119,0.903
0.466,0.121,0.908
0.468,0.142,0.922
0.462,0.156,0.929
0.454,0.186,0.943
0.436,0.2,0.951
0.427,0.203,0.96
0.418,0.215,0.994
0.406,0.212,1.002
0.401,0.199,1.019
0.388,0.194,1.033
0.383,0.193,1.064
0.369,0.196,1.082
0.358,0.195,1.111
0.349,0.19,1.134
0.348,0.179,1.175
0.337,0.173,1.194
0.323,0.173,1.239
0.308,0.165,1.262
0.304,0.122,1.296
0.305,0.097,1.297
0.312,0.057,1.279
0.309,0.052,1.266
0.296,0.075,1.248
0.274,0.098,1.248
0.264,0.133,1.258
0.238,0.139,1.251
0.229,0.145,1.238
0.224,0.146,1.234
0.224,0.151,1.221
0.235,0.155,1.218
0.241,0.164,1.208
0.264,0.169,1.207
0.277,0.179,1.205
0.3,0.18,1.206
0.312,0.172,1.21
0.331,0.168,1.211
0.339,0.161,1.211
0.35,0.163,1.206
0.352,0.158,1.186
0.356,0.16,1.181
0.36,0.165,1.166
0.364,0.167,1.153
0.363,0.174,1.125
0.366,0.183,1.11
0.366,0.191,1.086
0.36,0.194,1.073
0.357,0.186,1.05
0.345,0.178,1.037
0.333,0.173,1.016
0.328,0.182,1.008
0.328,0.196,0.987
0.326,0.212,0.979
0.324,0.253,0.96
0.325,0.271,0.955
0.324,0.296,0.94
0.312,0.31,0.934
0.308,0.339,0.918
0.287,0.351,0.908
0.28,0.376,0.893
0.278,0.39,0.883
0.285,0.415,0.869
0.295,0.425,0.859
0.294,0.423,0.834
0.281,0.417,0.819
0.27,0.404,0.792
0.258,0.4,0.781
0.256,0.392,0.767
0.261,0.392,0.759
0.273,0.393,0.756
0.289,0.396,0.746
0.294,0.405,0.74
0.311,0.417,0.736
0.631,0.607,0.763
0.593,0.62,0.721
0.574,0.629,0.645
0.547,0.632,0.626
0.54,0.652,0.608
0.518,0.662,0.588
0.506,0.699,0.55
0.49,0.707,0.54
0.482,0.714,0.513
0.47,0.713,0.503
0.465,0.707,0.485
0.455,0.703,0.475
0.455,0.677,0.469
0.468,0.67,0.47
0.468,0.677,0.463
0.475,0.679,0.468
0.478,0.683,0.479
0.483,0.687,0.475
0.48,0.698,0.453
0.482,0.684,0.452
0.481,0.679,0.418
0.458,0.678,0.397
0.45,0.686,0.369
0.445,0.684,0.36
0.439,0.685,0.321
0.432,0.686,0.295
0.429,0.693,0.25
0.424,0.691,0.238
0.423,0.692,0.224
0.438,0.706,0.218
0.451,0.712,0.216
0.47,0.718,0.214
0.478,0.719,0.209
0.496,0.709,0.203
0.506,0.693,0.202
0.518,0.691,0.203
0.529,0.694,0.179
0.553,0.695,0.17
0.56,0.733,0.135
0.572,0.759,0.102
0.581,0.798,0.036
0.618,0.839,0.009
0.64,0.91,0.009
0.674,0.954,0.019
0.684,0.986,0.016
0.673,0.967,0.013
0.655,0.921,0.028
0.638,0.894,0.041
0.636,0.854,0.035
0.681,0.828,0.048
0.69,0.794,0.061
0.703,0.782,0.073
0.706,0.754,0.107
0.713,0.749,0.119
0.715,0.727,0.139
0.71,0.712,0.148
0.712,0.71,0.16
0.714,0.708,0.161
0.717,0.701,0.159
0.724,0.693,0.159
0.726,0.676,0.158
0.731,0.669,0.166
0.728,0.674,0.156
0.712,0.651,0.144
0.683,0.628,0.111
0.653,0.627,0.087
0.648,0.606,0.053
0.611,0.593,0.037
0.582,0.556,0.021
0.499,0.539,0.021
0.484,0.538,0.012
0.472,0.529,-0.01
0.459,0.522,-0.046
0.458,0.541,-0.06
0.468,0.559,-0.089
0.472,0.561,-0.104
0.466,0.563,-0.118
0.478,0.574,-0.243
0.481,0.571,-0.141
0.477,0.565,-0.149
0.47,0.545,-0.149
0.48,0.532,-0.143
0.491,0.501,-0.149
0.483,0.488,-0.164
0.47,0.463,-0.171
0.467,0.45,-0.183
0.471,0.442,-0.192
0.474,0.421,-0.198
0.491,0.409,-0.203
0.506,0.4,-0.199
0.533,0.397,-0.18
0.529,0.448,-0.186
0.523,0.464,-0.202
0.52,0.476,-0.214
0.537,0.475,-0.208
0.552,0.46,-0.204
0.584,0.454,-0.212
0.594,0.44,-0.234
0.617,0.439,-0.252
0.632,0.438,-0.256
0.65,0.439,-0.254
0.713,0.427,-0.245
0.75,0.43,-0.233
0.815,0.408,-0.219
0.838,0.398,-0.203
0.874,0.368,-0.198
0.881,0.339,-0.203
0.887,0.331,-0.208
0.888,0.31,-0.212
0.882,0.3,-0.215
0.88,0.282,-0.223
0.874,0.28,-0.23
0.877,0.27,-0.233
0.889,0.261,-0.233
0.888,0.24,-0.239
0.896,0.237,-0.222
0.909,0.223,-0.219
0.913,0.209,-0.216
0.923,0.195,-0.218
0.451,0.438,1.267
0.357,0.358,1.233
0.176,0.308,1.24
0.157,0.332,1.252
0.159,0.41,1.254
0.201,0.423,1.239
0.184,0.382,1.235
0.121,0.39,1.237
0.104,0.403,1.247
0.189,0.464,1.281
0.312,0.489,1.267
0.141,0.422,1.214
0.04,0.376,1.173
-0.038,0.42,1.176
0.116,0.53,1.238
0.153,0.526,1.237
0.15,0.484,1.218
0.151,0.481,1.222
0.161,0.463,1.242
0.182,0.454,1.124
0.197,0.437,1.247
0.206,0.423,1.249
0.216,0.394,1.248
0.225,0.384,1.372
0.232,0.364,1.25
0.247,0.356,1.246
